modelo,config,query_id,P@10,R@10,AP,NDCG@10
vetorial,stopwords,29,0.5,0.5555555555555556,0.5074741692832376,0.5681857486524039
vetorial,stopwords,30,0.1,0.14285714285714285,0.058502707554115144,0.06953469985987615
vetorial,stopwords,31,0.0,0.0,0.001026694045174538,0.0
vetorial,stopwords,32,0.1,0.16666666666666666,0.038370454724497106,0.04384183565490108
vetorial,stopwords,33,0.3,1.0,0.5333333333333333,0.6672406095331843
vetorial,stopwords,34,0.1,0.16666666666666666,0.13481747918022427,0.07328439752622513
vetorial,stopwords,35,0.0,0.0,0.029966329966329964,0.0
vetorial,stopwords,36,0.0,0.0,0.02836496980155306,0.0
vetorial,stopwords,37,0.1,0.1111111111111111,0.15403914925654055,0.07025839061197336
vetorial,stopwords,38,0.0,0.0,0.03130378199229629,0.0
vetorial,stopwords,39,0.2,0.15384615384615385,0.19999205367149855,0.22721152029093705
vetorial,stopwords,40,0.0,0.0,0.024346547236535312,0.0
vetorial,stopwords,41,0.3,1.0,0.8333333333333334,0.9119982885888461
vetorial,stopwords,42,0.2,0.4,0.12616869160182867,0.26304103890982655
vetorial,stopwords,43,0.4,0.6666666666666666,0.4738535435925322,0.7080161981607205
vetorial,stopwords,44,0.0,0.0,0.0,0.0
vetorial,stopwords,45,0.1,0.08333333333333333,0.133471660477124,0.17659831200807974
vetorial,stopwords,46,0.4,0.26666666666666666,0.28999680804952527,0.42980740185840227
vetorial,stopwords,47,0.3,0.21428571428571427,0.24990625303327782,0.24463908467024417
vetorial,stopwords,48,0.2,0.18181818181818182,0.190167353077263,0.30654896058534786
vetorial,stopwords,49,0.1,0.5,0.2803030303030303,0.4796249331362629
vetorial,stopwords,50,0.1,0.16666666666666666,0.09754062580759425,0.2882482022578177
vetorial,stopwords,51,0.4,0.4,0.3795365045311411,0.3341696253032752
vetorial,stopwords,52,0.3,0.75,0.5625,0.5016452809607169
vetorial,stopwords,53,0.3,0.3,0.2891219002243786,0.28046151317628504
vetorial,stopwords,54,0.1,0.1111111111111111,0.07706007698621375,0.10642623028782688
vetorial,stopwords,55,0.3,0.3,0.2217783176721458,0.32995028818219024
vetorial,stopwords,56,0.0,0.0,0.0959674678720763,0.0
vetorial,stopwords,57,0.1,0.07142857142857142,0.06575258185077247,0.11676437857730142
vetorial,stopwords,58,0.2,0.2222222222222222,0.11066625203464683,0.22692972551677607
vetorial,stopwords,59,0.1,0.25,0.09425675675675675,0.14067013006711881
vetorial,stopwords,60,0.2,0.4,0.4411345411345411,0.41122554461500466
vetorial,stopwords,61,0.2,0.4,0.1804462778284624,0.3034124251325962
vetorial,stopwords,62,0.0,0.0,0.026751463811108923,0.0
